Table S1.  Geographic and morphomentric data on lakes included in this study from a variety of sourcesa.,,,,,,,,,,,,,,
Lake no.,Lake,Continent,Latitude,Basin typeb,Surface area (km2),Volume (km3),Altitude (m),Average depth (m),Maximum depth (m),Drainage basin area (km2),Residence time (yr),Mean annual water temperature (°C),Insolationc (kWh m-2 y-1),Sources
1,Edward,Africa,0.3 S,T,2325,"39,5",912,34,117,12096,,"25,8","1673,22083333333","72, 109"
2,Victoria,Africa,1 S,T,68800,2750,1134,40,79,195000,140–200,25,"2072,2875",109
3,Albert,Africa,2 N,T,5590,280,615,25,58,,,"28,2","1786,37083333333",109
4,Kivu,Africa,2 S,"T, V",2200,333,1460,240,480,,,"23,75","1658,62083333333",109
5,Turkana ,Africa,3.5 N,T,7560,"203,6","360,4",30,109,130860,"12,5",29,"2188,175",109
6,Tanganyika ,Africa,6 S,T,32600,17800,773,572,1471,263000,440,26,"1872,75416666667","72, 109"
7,Maracaibo,S. America,10 N,T,13010,280,<1,,60,,,~30,"1934,5",72
8,Malawi,Africa,12 S,T,29743,8400,500,273,706,97750,140,26,"2063,1625",null
9,Nicaragua,N. America,11.5 N,"T, V",7700,108,32,10–15,43,23800,,29,"1912,90416666667","1, 5"
10,Managua,N. America,12.5 N,,1016,9,37,"7,8",26,6668,,"29,1","2076,54583333333",77
11,Chad,Africa,13.3 N,T,"1,350–25,000",≤90,280,2-8,10–11,2426370,0.5–2,,"2092,05833333333",15
12,Titicaca,S. America,16 S,T,8559,893,3812,107,285,60800,1343,13,"1898,9125",50
13,Chapala,N. America,20 N,T,1112,8,1524,"7,2","10,5",52500,"10,2","21,7","1978,3",72
14,Biwa,Asia,35 N,T,688,"27,5","85,6",41,103,3174,"5,5","16,2","1285,10416666667",null
15,Van,Asia,38 N,,3574,607,1646,57,451,12522,"2,3",,"1547,90416666667",72
16,Tahoe,N. America,39 N,T,501,156,1897,249,501,841,700,,"1692,07916666667",72
17,Great Salt,N. America,41 N,T,4360,19,1283,"4,4",15,21000,,,"1536,65",21
18,Issyk Kul,Asia,42 N,T,6240,1738,1606,320,702,22080,305,"7,6","1461,825","72, 118"
19,Caspian Sea,Asia,42 N,T,378400,78200,–28,182,1025,3500000,,13,"1411,33333333333",60
20,Erie ,N. America,42.2 N,G,25700,483,174,19,64,61000,"2,6","10,2","1287,84166666667",72
21,Ontario,N. America,43.7 N,G,18960,1637,75,86,245,64000,"6,7","9,1","1315,52083333333",7
22,Michigan,N. America,44 N,G,57800,4920,176,85,282,118100,59,8,"1343,80833333333",8
23,Huron,N. America,45 N,G,59600,3537,176,59,229,134000,22,"8,7","1371,79166666667",113
24,Superior,N. America,47 N,"G, T",82236,12230,183,149,407,128000,180,"4,8","1289,05833333333","72, 113"
25,Constance,Europe,48 N,G,540,48,395,90,252,11890,,,"1202,37083333333",100
26,Nipigon,N. America,50 N,G,4848,284,320,59,143,24500,35,,"1243,12916666667",null
27,Winnipeg,N. America,52 N,G,24387,284,217,13,28,960000,"3,6","5,1","1128,15416666667",97
28,Baikal,Asia,53 N,T,31500,23000,456,680,1741,540000,400,"4,5","1221,8375",62
29,Peipus,Europe,57.3 N,,4300,25,30,,15,48000,2,,"960,8625",null
30,Vättern,Europe,58 N,"G, T",1910,74,89,"39,8",128,6359,"55,9","6,2","865,354166666667",125
31,Becharof,N. America,58 N,G,1172,,4,,181,,,,"975,766666666667",14
32,Ilmen,Europe,58.3 N,,"600–2,100",12,18,3,3–11,58000,"0,25",,"955,995833333333",null
33,Naknek,N. America,58.6 N,G,630,,10,,11,,,,"857,141666666667",null
34,Vänern,Europe,59 N,"G, T",5648,153,44,27,106,46830,9,"7,3","960,558333333333",125
35,Mälaren,Europe,59.5 N,"G, T",1096,"13,6",<1,"12,8",63,22603,"2,2","7,3","904,2875",125
36,Iliamna,N. America,59.5 N,G,2662,116,15,44,393,16888,,,"955,691666666667",14
37,Ladoga,Europe,61 N,"G, T",18740,908,"4,8",51,230,258600,"12,3","4,9","953,5625",74
38,Onega,Europe,61.5 N,G,9690,280,35,30,120,62800,12,"5,4","908,545833333333",74
39,Päijänne,Europe,61.8 N,"G, T",1100,"17,8",78,17,98,25400,"2,7",7,"916,758333333333",null
40,Great Slave,N. America,62 N,G,28568,2090,156,120,614,995000,"12,5",-5,"1023,52083333333","72, 97"
41,Great Bear,N. America,66 N,G,31326,2240,186,72,446,115000,124,"3,5","848,320833333334",97
"a Chief sources for information in this table were Herdendorf [1984], the International Lake Environment Committee web site [http://www.ilec.or.jp/database/database.html], and references listed in Tables S2–S4.",,,,,,,,,,,,,,
"b T = tectonic, G = glacial, V = volcanic",,,,,,,,,,,,,,
c Calculated on the NASA Surface meteorology and Solar Energy web site [http://eosweb.larc.nasa.gov/].,,,,,,,,,,,,,,
